img-dnn,xapian,masstree,50,20,100,hist
1.874,4.717,3.399,0.03748,0.23585,0.03399,0.10244
1.837,5.835,3.222,0.03674,0.29175,0.03222,0.120236667
1.635,6.283,4.721,0.0327,0.31415,0.04721,0.131353333
4.235,4.794,5.758,0.0847,0.2397,0.05758,0.127326667
1.978,4.685,3.297,0.03956,0.23425,0.03297,0.10226
1.851,5.019,3.697,0.03702,0.25095,0.03697,0.108313333
1.88,4.774,3.352,0.0376,0.2387,0.03352,0.103273333
3.206,5.111,3.863,0.06412,0.25555,0.03863,0.119433333
1.831,4.644,6.223,0.03662,0.2322,0.06223,0.11035
1.978,4.764,3.382,0.03956,0.2382,0.03382,0.10386
5.806,4.878,5.881,0.11612,0.2439,0.05881,0.13961
2.461,6.313,3.96,0.04922,0.31565,0.0396,0.134823333
1.986,4.852,4.683,0.03972,0.2426,0.04683,0.109716667
1.684,4.769,3.432,0.03368,0.23845,0.03432,0.10215
1.942,10.354,3.331,0.03884,0.5177,0.03331,0.196616667
2.326,5.637,3.691,0.04652,0.28185,0.03691,0.12176
3.379,7.593,49.668,0.06758,0.37965,0.49668,0.314636667
1.779,5.633,43.475,0.03558,0.28165,0.43475,0.25066
1.906,10.4,3.59,0.03812,0.52,0.0359,0.198006667
481.718,4.881,6.202,9.63436,0.24405,0.06202,3.313476667
3.373,4.722,7.33,0.06746,0.2361,0.0733,0.12562
1.808,5.428,67.152,0.03616,0.2714,0.67152,0.32636
1.876,5.703,3.504,0.03752,0.28515,0.03504,0.119236667
1.98,4.819,3.372,0.0396,0.24095,0.03372,0.104756667
2.979,4.856,6.011,0.05958,0.2428,0.06011,0.12083
1.58,8.615,5.834,0.0316,0.43075,0.05834,0.173563333
2.076,6.512,3.508,0.04152,0.3256,0.03508,0.134066667
1.875,4.893,3.198,0.0375,0.24465,0.03198,0.10471
1.977,6.283,3.497,0.03954,0.31415,0.03497,0.129553333
1.751,5.023,3.151,0.03502,0.25115,0.03151,0.105893333
5.7,8.355,6.21,0.114,0.41775,0.0621,0.19795
2.019,6.63,71.148,0.04038,0.3315,0.71148,0.36112
1.676,4.967,3.286,0.03352,0.24835,0.03286,0.10491
